m,p,delta,correct,incorrect
440.0,0.5,0.12,0.24,0.28
70.0,0.5,0.38,0.68,0.72
440.0,0.5,0.11,0.2,0.16
70.0,0.5,0.39,0.44,0.56
440.0,0.5,0.1,0.36,0.28
70.0,0.5,0.4,0.64,0.68
440.0,0.5,0.09,0.24,0.16
70.0,0.5,0.41000000000000003,0.6,0.88
440.0,0.5,0.08,0.16,0.2
70.0,0.5,0.42,0.8,0.72
440.0,0.5,0.07,0.16,0.08
70.0,0.5,0.43,0.84,0.88
440.0,0.5,0.06,0.04,0.12
70.0,0.5,0.44,0.72,0.8
440.0,0.5,0.05,0.04,0.12
70.0,0.5,0.45,0.84,0.76
440.0,0.5,0.04,0.04,0.08
70.0,0.5,0.46,0.68,0.8
440.0,0.5,0.03,0.0,0.04
70.0,0.5,0.47000000000000003,0.84,0.84
440.0,0.5,0.02,0.12,0.04
70.0,0.5,0.48,0.84,0.84
440.0,0.5,0.01,0.04,0.04
70.0,0.5,0.49,0.84,0.92
440.0,0.5,0.0,0.0,0.0
70.0,0.5,0.5,0.84,0.88
430.0,0.5,0.5,1.0,1.0
80.0,0.5,0.0,0.0,0.04
430.0,0.5,0.49,1.0,1.0
80.0,0.5,0.01,0.04,0.0
430.0,0.5,0.48,1.0,1.0
80.0,0.5,0.02,0.04,0.04
430.0,0.5,0.47000000000000003,1.0,1.0
80.0,0.5,0.03,0.12,0.12
430.0,0.5,0.46,1.0,1.0
80.0,0.5,0.04,0.04,0.12
430.0,0.5,0.45,1.0,1.0
80.0,0.5,0.05,0.12,0.16
430.0,0.5,0.44,1.0,1.0
80.0,0.5,0.06,0.04,0.08
430.0,0.5,0.43,1.0,1.0
80.0,0.5,0.07,0.04,0.04
430.0,0.5,0.42,1.0,1.0
80.0,0.5,0.08,0.08,0.04
430.0,0.5,0.41000000000000003,1.0,1.0
80.0,0.5,0.09,0.12,0.0
430.0,0.5,0.4,1.0,1.0
80.0,0.5,0.1,0.16,0.04
430.0,0.5,0.39,1.0,1.0
80.0,0.5,0.11,0.24,0.2
430.0,0.5,0.38,1.0,1.0
80.0,0.5,0.12,0.08,0.0
430.0,0.5,0.37,1.0,1.0
80.0,0.5,0.13,0.08,0.16
430.0,0.5,0.36,1.0,1.0
80.0,0.5,0.14,0.16,0.08
430.0,0.5,0.35000000000000003,1.0,1.0
80.0,0.5,0.15,0.12,0.16
430.0,0.5,0.34,1.0,1.0
80.0,0.5,0.16,0.08,0.08
430.0,0.5,0.33,1.0,1.0
80.0,0.5,0.17,0.12,0.16
430.0,0.5,0.32,1.0,1.0
80.0,0.5,0.18,0.0,0.08
430.0,0.5,0.31,1.0,1.0
80.0,0.5,0.19,0.2,0.16
430.0,0.5,0.3,1.0,1.0
80.0,0.5,0.2,0.16,0.12
430.0,0.5,0.29,1.0,1.0
80.0,0.5,0.21,0.08,0.2
430.0,0.5,0.28,1.0,1.0
80.0,0.5,0.22,0.24,0.36
430.0,0.5,0.27,1.0,1.0
80.0,0.5,0.23,0.2,0.24
430.0,0.5,0.26,0.96,0.96
80.0,0.5,0.24,0.2,0.28
430.0,0.5,0.25,0.96,1.0
80.0,0.5,0.25,0.28,0.2
430.0,0.5,0.24,1.0,1.0
80.0,0.5,0.26,0.4,0.28
430.0,0.5,0.23,0.96,0.92
80.0,0.5,0.27,0.4,0.36
430.0,0.5,0.22,0.88,0.84
80.0,0.5,0.28,0.4,0.6
430.0,0.5,0.21,0.92,0.84
80.0,0.5,0.29,0.24,0.32
430.0,0.5,0.2,0.96,0.92
80.0,0.5,0.3,0.36,0.32
430.0,0.5,0.19,0.84,0.88
80.0,0.5,0.31,0.36,0.28
430.0,0.5,0.18,0.76,0.76
80.0,0.5,0.32,0.44,0.52
430.0,0.5,0.17,0.76,0.92
80.0,0.5,0.33,0.52,0.48
430.0,0.5,0.16,0.6,0.68
80.0,0.5,0.34,0.36,0.36
430.0,0.5,0.15,0.52,0.48
80.0,0.5,0.35000000000000003,0.6,0.64
430.0,0.5,0.14,0.4,0.52
80.0,0.5,0.36,0.64,0.72
430.0,0.5,0.13,0.4,0.44
80.0,0.5,0.37,0.52,0.56
430.0,0.5,0.12,0.28,0.28
80.0,0.5,0.38,0.68,0.64
430.0,0.5,0.11,0.24,0.24
80.0,0.5,0.39,0.6,0.68
430.0,0.5,0.1,0.2,0.28
80.0,0.5,0.4,0.76,0.76
430.0,0.5,0.09,0.08,0.12
80.0,0.5,0.41000000000000003,0.8,0.84
430.0,0.5,0.08,0.16,0.08
80.0,0.5,0.42,0.72,0.8
430.0,0.5,0.07,0.16,0.08
80.0,0.5,0.43,0.68,0.72
430.0,0.5,0.06,0.12,0.04
80.0,0.5,0.44,0.76,0.8
430.0,0.5,0.05,0.0,0.04
80.0,0.5,0.45,0.88,0.92
430.0,0.5,0.04,0.08,0.08
80.0,0.5,0.46,0.88,0.92
430.0,0.5,0.03,0.08,0.04
80.0,0.5,0.47000000000000003,0.84,0.88
430.0,0.5,0.02,0.04,0.08
80.0,0.5,0.48,0.88,0.92
430.0,0.5,0.01,0.0,0.0
80.0,0.5,0.49,0.8,0.88
430.0,0.5,0.0,0.04,0.04
80.0,0.5,0.5,0.88,0.96
420.0,0.5,0.5,1.0,1.0
90.0,0.5,0.0,0.04,0.04
420.0,0.5,0.49,1.0,1.0
90.0,0.5,0.01,0.08,0.04
420.0,0.5,0.48,1.0,1.0
90.0,0.5,0.02,0.0,0.08
420.0,0.5,0.47000000000000003,1.0,1.0
90.0,0.5,0.03,0.08,0.04
420.0,0.5,0.46,1.0,1.0
90.0,0.5,0.04,0.08,0.0
420.0,0.5,0.45,1.0,1.0
90.0,0.5,0.05,0.04,0.0
420.0,0.5,0.44,1.0,1.0
90.0,0.5,0.06,0.0,0.0
420.0,0.5,0.43,1.0,1.0
90.0,0.5,0.07,0.04,0.08
420.0,0.5,0.42,1.0,1.0
90.0,0.5,0.08,0.0,0.0
420.0,0.5,0.41000000000000003,1.0,1.0
90.0,0.5,0.09,0.12,0.12
420.0,0.5,0.4,1.0,1.0
90.0,0.5,0.1,0.08,0.12
420.0,0.5,0.39,1.0,1.0
90.0,0.5,0.11,0.04,0.04
420.0,0.5,0.38,1.0,1.0
90.0,0.5,0.12,0.12,0.08
420.0,0.5,0.37,1.0,1.0
90.0,0.5,0.13,0.04,0.12
420.0,0.5,0.36,1.0,1.0
90.0,0.5,0.14,0.08,0.16
420.0,0.5,0.35000000000000003,1.0,1.0
90.0,0.5,0.15,0.16,0.2
420.0,0.5,0.34,1.0,1.0
90.0,0.5,0.16,0.04,0.08
420.0,0.5,0.33,1.0,1.0
90.0,0.5,0.17,0.2,0.16
420.0,0.5,0.32,1.0,1.0
90.0,0.5,0.18,0.12,0.16
420.0,0.5,0.31,1.0,1.0
90.0,0.5,0.19,0.08,0.16
420.0,0.5,0.3,1.0,1.0
90.0,0.5,0.2,0.16,0.28
420.0,0.5,0.29,1.0,1.0
90.0,0.5,0.21,0.24,0.28
420.0,0.5,0.28,1.0,1.0
90.0,0.5,0.22,0.2,0.36
420.0,0.5,0.27,1.0,1.0
90.0,0.5,0.23,0.2,0.32
420.0,0.5,0.26,0.96,1.0
90.0,0.5,0.24,0.16,0.16
420.0,0.5,0.25,1.0,1.0
90.0,0.5,0.25,0.28,0.28
420.0,0.5,0.24,1.0,1.0
90.0,0.5,0.26,0.28,0.24
420.0,0.5,0.23,0.92,0.96
90.0,0.5,0.27,0.28,0.32
420.0,0.5,0.22,0.88,0.96
90.0,0.5,0.28,0.28,0.32
420.0,0.5,0.21,0.72,0.8
90.0,0.5,0.29,0.56,0.44
420.0,0.5,0.2,0.76,0.96
90.0,0.5,0.3,0.48,0.36
420.0,0.5,0.19,0.76,0.88
90.0,0.5,0.31,0.4,0.6
420.0,0.5,0.18,0.52,0.68
90.0,0.5,0.32,0.48,0.4
420.0,0.5,0.17,0.72,0.72
90.0,0.5,0.33,0.64,0.64
420.0,0.5,0.16,0.4,0.52
90.0,0.5,0.34,0.6,0.68
420.0,0.5,0.15,0.32,0.44
90.0,0.5,0.35000000000000003,0.6,0.72
420.0,0.5,0.14,0.6,0.48
90.0,0.5,0.36,0.72,0.84
420.0,0.5,0.13,0.28,0.28
90.0,0.5,0.37,0.64,0.84
420.0,0.5,0.12,0.32,0.24
90.0,0.5,0.38,0.68,0.68
420.0,0.5,0.11,0.28,0.2
90.0,0.5,0.39,0.84,0.88
420.0,0.5,0.1,0.16,0.2
90.0,0.5,0.4,0.64,0.76
420.0,0.5,0.09,0.08,0.24
90.0,0.5,0.41000000000000003,0.92,0.92
420.0,0.5,0.08,0.08,0.12
90.0,0.5,0.42,0.8,0.92
420.0,0.5,0.07,0.16,0.16
90.0,0.5,0.43,0.68,0.88
420.0,0.5,0.06,0.16,0.24
90.0,0.5,0.44,0.88,0.88
420.0,0.5,0.05,0.04,0.0
90.0,0.5,0.45,0.8,0.88
420.0,0.5,0.04,0.04,0.16
90.0,0.5,0.46,0.92,0.88
420.0,0.5,0.03,0.0,0.0
90.0,0.5,0.47000000000000003,0.88,0.88
420.0,0.5,0.02,0.04,0.2
90.0,0.5,0.48,0.96,0.88
420.0,0.5,0.01,0.16,0.08
90.0,0.5,0.49,0.92,0.96
420.0,0.5,0.0,0.08,0.04
90.0,0.5,0.5,0.96,1.0
410.0,0.5,0.5,1.0,1.0
100.0,0.5,0.0,0.08,0.0
410.0,0.5,0.49,1.0,1.0
100.0,0.5,0.01,0.0,0.04
410.0,0.5,0.48,1.0,1.0
100.0,0.5,0.02,0.08,0.08
410.0,0.5,0.47000000000000003,1.0,1.0
100.0,0.5,0.03,0.08,0.04
410.0,0.5,0.46,1.0,1.0
100.0,0.5,0.04,0.08,0.04
410.0,0.5,0.45,1.0,1.0
100.0,0.5,0.05,0.12,0.16
410.0,0.5,0.44,1.0,1.0
100.0,0.5,0.06,0.16,0.04
410.0,0.5,0.43,1.0,1.0
100.0,0.5,0.07,0.08,0.08
410.0,0.5,0.42,1.0,1.0
100.0,0.5,0.08,0.12,0.0
410.0,0.5,0.41000000000000003,1.0,1.0
100.0,0.5,0.09,0.04,0.08
410.0,0.5,0.4,1.0,1.0
100.0,0.5,0.1,0.12,0.2
410.0,0.5,0.39,1.0,1.0
100.0,0.5,0.11,0.12,0.04
410.0,0.5,0.38,1.0,1.0
100.0,0.5,0.12,0.08,0.12
410.0,0.5,0.37,1.0,1.0
100.0,0.5,0.13,0.16,0.08
410.0,0.5,0.36,1.0,1.0
100.0,0.5,0.14,0.08,0.12
410.0,0.5,0.35000000000000003,1.0,1.0
100.0,0.5,0.15,0.2,0.16
410.0,0.5,0.34,1.0,1.0
100.0,0.5,0.16,0.08,0.12
410.0,0.5,0.33,1.0,1.0
100.0,0.5,0.17,0.08,0.16
410.0,0.5,0.32,1.0,1.0
100.0,0.5,0.18,0.16,0.12
410.0,0.5,0.31,1.0,1.0
100.0,0.5,0.19,0.12,0.28
410.0,0.5,0.3,1.0,1.0
100.0,0.5,0.2,0.04,0.12
410.0,0.5,0.29,1.0,1.0
100.0,0.5,0.21,0.12,0.16
410.0,0.5,0.28,1.0,1.0
100.0,0.5,0.22,0.2,0.24
410.0,0.5,0.27,1.0,1.0
100.0,0.5,0.23,0.32,0.28
410.0,0.5,0.26,1.0,1.0
100.0,0.5,0.24,0.28,0.2
410.0,0.5,0.25,0.92,1.0
100.0,0.5,0.25,0.4,0.44
410.0,0.5,0.24,0.96,1.0
100.0,0.5,0.26,0.28,0.32
410.0,0.5,0.23,0.96,0.92
100.0,0.5,0.27,0.28,0.36
410.0,0.5,0.22,0.92,0.96
100.0,0.5,0.28,0.4,0.48
410.0,0.5,0.21,0.92,0.88
100.0,0.5,0.29,0.44,0.44
410.0,0.5,0.2,0.76,0.96
100.0,0.5,0.3,0.36,0.36
410.0,0.5,0.19,0.84,0.88
100.0,0.5,0.31,0.6,0.6
410.0,0.5,0.18,0.72,0.84
100.0,0.5,0.32,0.48,0.56
410.0,0.5,0.17,0.6,0.68
100.0,0.5,0.33,0.68,0.68
410.0,0.5,0.16,0.68,0.8
100.0,0.5,0.34,0.64,0.56
410.0,0.5,0.15,0.4,0.32
100.0,0.5,0.35000000000000003,0.52,0.68
410.0,0.5,0.14,0.4,0.56
100.0,0.5,0.36,0.6,0.76
410.0,0.5,0.13,0.44,0.44
100.0,0.5,0.37,0.76,0.88
410.0,0.5,0.12,0.4,0.28
100.0,0.5,0.38,0.68,0.72
410.0,0.5,0.11,0.16,0.28
100.0,0.5,0.39,0.8,0.84
410.0,0.5,0.1,0.16,0.08
100.0,0.5,0.4,0.64,0.84
410.0,0.5,0.09,0.08,0.04
100.0,0.5,0.41000000000000003,0.92,0.88
410.0,0.5,0.08,0.12,0.2
100.0,0.5,0.42,0.84,0.92
410.0,0.5,0.07,0.04,0.16
100.0,0.5,0.43,0.72,0.84
410.0,0.5,0.06,0.08,0.2
100.0,0.5,0.44,0.76,0.92
410.0,0.5,0.05,0.12,0.04
100.0,0.5,0.45,1.0,1.0
410.0,0.5,0.04,0.08,0.12
100.0,0.5,0.46,0.96,0.92
410.0,0.5,0.03,0.04,0.08
100.0,0.5,0.47000000000000003,0.96,1.0
410.0,0.5,0.02,0.04,0.04
100.0,0.5,0.48,0.88,0.88
410.0,0.5,0.01,0.0,0.04
100.0,0.5,0.49,0.88,0.92
410.0,0.5,0.0,0.0,0.04
100.0,0.5,0.5,0.96,1.0
400.0,0.5,0.5,1.0,1.0
110.0,0.5,0.0,0.04,0.04
400.0,0.5,0.49,1.0,1.0
110.0,0.5,0.01,0.24,0.16
400.0,0.5,0.48,1.0,1.0
110.0,0.5,0.02,0.04,0.0
400.0,0.5,0.47000000000000003,1.0,1.0
110.0,0.5,0.03,0.08,0.04
400.0,0.5,0.46,1.0,1.0
110.0,0.5,0.04,0.04,0.04
400.0,0.5,0.45,1.0,1.0
110.0,0.5,0.05,0.04,0.0
400.0,0.5,0.44,1.0,1.0
110.0,0.5,0.06,0.0,0.04
400.0,0.5,0.43,1.0,1.0
110.0,0.5,0.07,0.04,0.0
400.0,0.5,0.42,1.0,1.0
110.0,0.5,0.08,0.12,0.04
400.0,0.5,0.41000000000000003,1.0,1.0
110.0,0.5,0.09,0.04,0.04
400.0,0.5,0.4,1.0,1.0
110.0,0.5,0.1,0.08,0.08
400.0,0.5,0.39,1.0,1.0
110.0,0.5,0.11,0.12,0.2
400.0,0.5,0.38,1.0,1.0
110.0,0.5,0.12,0.12,0.08
400.0,0.5,0.37,1.0,1.0
110.0,0.5,0.13,0.2,0.08
400.0,0.5,0.36,1.0,1.0
110.0,0.5,0.14,0.08,0.0
400.0,0.5,0.35000000000000003,1.0,1.0
110.0,0.5,0.15,0.16,0.2
400.0,0.5,0.34,1.0,1.0
110.0,0.5,0.16,0.08,0.28
400.0,0.5,0.33,1.0,1.0
110.0,0.5,0.17,0.08,0.08
400.0,0.5,0.32,1.0,1.0
110.0,0.5,0.18,0.2,0.16
400.0,0.5,0.31,1.0,1.0
110.0,0.5,0.19,0.2,0.24
400.0,0.5,0.3,1.0,1.0
110.0,0.5,0.2,0.16,0.16
400.0,0.5,0.29,1.0,1.0
110.0,0.5,0.21,0.28,0.4
400.0,0.5,0.28,0.96,1.0
110.0,0.5,0.22,0.36,0.36
400.0,0.5,0.27,1.0,1.0
110.0,0.5,0.23,0.36,0.36
400.0,0.5,0.26,1.0,1.0
110.0,0.5,0.24,0.44,0.28
400.0,0.5,0.25,0.96,0.92
110.0,0.5,0.25,0.2,0.2
400.0,0.5,0.24,0.96,1.0
110.0,0.5,0.26,0.36,0.4
400.0,0.5,0.23,0.96,0.96
110.0,0.5,0.27,0.32,0.32
400.0,0.5,0.22,0.92,0.92
110.0,0.5,0.28,0.44,0.36
400.0,0.5,0.21,0.84,0.92
110.0,0.5,0.29,0.36,0.44
400.0,0.5,0.2,0.76,0.92
110.0,0.5,0.3,0.48,0.44
400.0,0.5,0.19,0.68,0.76
110.0,0.5,0.31,0.52,0.68
400.0,0.5,0.18,0.76,0.8
110.0,0.5,0.32,0.68,0.76
400.0,0.5,0.17,0.64,0.6
110.0,0.5,0.33,0.52,0.72
400.0,0.5,0.16,0.6,0.6
110.0,0.5,0.34,0.72,0.72
400.0,0.5,0.15,0.64,0.52
110.0,0.5,0.35000000000000003,0.64,0.72
400.0,0.5,0.14,0.36,0.44
110.0,0.5,0.36,0.56,0.64
400.0,0.5,0.13,0.28,0.28
110.0,0.5,0.37,0.8,0.92
400.0,0.5,0.12,0.56,0.4
110.0,0.5,0.38,0.8,0.8
400.0,0.5,0.11,0.24,0.12
110.0,0.5,0.39,0.84,0.92
400.0,0.5,0.1,0.16,0.2
110.0,0.5,0.4,0.96,0.96
400.0,0.5,0.09,0.2,0.24
110.0,0.5,0.41000000000000003,0.92,0.96
400.0,0.5,0.08,0.16,0.12
110.0,0.5,0.42,0.92,0.96
400.0,0.5,0.07,0.08,0.04
110.0,0.5,0.43,0.88,0.96
400.0,0.5,0.06,0.08,0.12
110.0,0.5,0.44,0.84,0.92
400.0,0.5,0.05,0.12,0.04
110.0,0.5,0.45,0.84,0.96
400.0,0.5,0.04,0.08,0.12
110.0,0.5,0.46,0.96,1.0
400.0,0.5,0.03,0.0,0.0
110.0,0.5,0.47000000000000003,0.92,1.0
400.0,0.5,0.02,0.0,0.0
110.0,0.5,0.48,1.0,1.0
400.0,0.5,0.01,0.08,0.04
110.0,0.5,0.49,0.96,0.96
400.0,0.5,0.0,0.12,0.0
110.0,0.5,0.5,1.0,1.0
390.0,0.5,0.5,1.0,1.0
120.0,0.5,0.0,0.04,0.04
390.0,0.5,0.49,1.0,1.0
120.0,0.5,0.01,0.0,0.0
390.0,0.5,0.48,1.0,1.0
120.0,0.5,0.02,0.08,0.04
390.0,0.5,0.47000000000000003,1.0,1.0
120.0,0.5,0.03,0.04,0.08
390.0,0.5,0.46,1.0,1.0
120.0,0.5,0.04,0.0,0.0
390.0,0.5,0.45,1.0,1.0
120.0,0.5,0.05,0.04,0.04
390.0,0.5,0.44,1.0,1.0
120.0,0.5,0.06,0.0,0.0
390.0,0.5,0.43,1.0,1.0
120.0,0.5,0.07,0.04,0.08
390.0,0.5,0.42,1.0,1.0
120.0,0.5,0.08,0.04,0.08
390.0,0.5,0.41000000000000003,1.0,1.0
120.0,0.5,0.09,0.0,0.04
390.0,0.5,0.4,1.0,1.0
120.0,0.5,0.1,0.08,0.08
390.0,0.5,0.39,1.0,1.0
120.0,0.5,0.11,0.0,0.0
390.0,0.5,0.38,1.0,1.0
120.0,0.5,0.12,0.12,0.08
390.0,0.5,0.37,1.0,1.0
120.0,0.5,0.13,0.12,0.24
390.0,0.5,0.36,1.0,1.0
120.0,0.5,0.14,0.0,0.04
390.0,0.5,0.35000000000000003,1.0,1.0
120.0,0.5,0.15,0.12,0.12
390.0,0.5,0.34,1.0,1.0
120.0,0.5,0.16,0.12,0.16
390.0,0.5,0.33,1.0,1.0
120.0,0.5,0.17,0.16,0.28
390.0,0.5,0.32,1.0,1.0
120.0,0.5,0.18,0.28,0.16
390.0,0.5,0.31,1.0,1.0
120.0,0.5,0.19,0.28,0.36
390.0,0.5,0.3,1.0,1.0
120.0,0.5,0.2,0.28,0.2
390.0,0.5,0.29,1.0,1.0
120.0,0.5,0.21,0.24,0.24
390.0,0.5,0.28,1.0,1.0
120.0,0.5,0.22,0.4,0.44
390.0,0.5,0.27,1.0,1.0
120.0,0.5,0.23,0.36,0.36
390.0,0.5,0.26,1.0,1.0
120.0,0.5,0.24,0.32,0.4
390.0,0.5,0.25,0.96,1.0
120.0,0.5,0.25,0.4,0.4
390.0,0.5,0.24,0.92,0.92
120.0,0.5,0.26,0.24,0.48
390.0,0.5,0.23,0.92,0.92
120.0,0.5,0.27,0.6,0.68
390.0,0.5,0.22,0.84,0.96
120.0,0.5,0.28,0.2,0.32
390.0,0.5,0.21,0.84,0.96
120.0,0.5,0.29,0.72,0.8
390.0,0.5,0.2,0.76,0.8
120.0,0.5,0.3,0.56,0.48
390.0,0.5,0.19,0.6,0.68
120.0,0.5,0.31,0.6,0.72
390.0,0.5,0.18,0.76,0.8
120.0,0.5,0.32,0.76,0.84
390.0,0.5,0.17,0.76,0.72
120.0,0.5,0.33,0.72,0.76
390.0,0.5,0.16,0.48,0.52
120.0,0.5,0.34,0.72,0.72
390.0,0.5,0.15,0.36,0.48
120.0,0.5,0.35000000000000003,0.6,0.72
390.0,0.5,0.14,0.2,0.4
120.0,0.5,0.36,0.76,0.84
390.0,0.5,0.13,0.44,0.32
120.0,0.5,0.37,0.76,0.88
390.0,0.5,0.12,0.32,0.28
120.0,0.5,0.38,0.84,0.96
390.0,0.5,0.11,0.16,0.12
120.0,0.5,0.39,0.76,0.88
390.0,0.5,0.1,0.24,0.2
120.0,0.5,0.4,0.76,0.84
390.0,0.5,0.09,0.16,0.12
120.0,0.5,0.41000000000000003,0.84,0.88
390.0,0.5,0.08,0.04,0.08
120.0,0.5,0.42,0.88,0.88
390.0,0.5,0.07,0.16,0.16
120.0,0.5,0.43,0.92,0.84
390.0,0.5,0.06,0.16,0.16
120.0,0.5,0.44,0.88,0.96
390.0,0.5,0.05,0.08,0.08
120.0,0.5,0.45,0.84,1.0
390.0,0.5,0.04,0.08,0.04
120.0,0.5,0.46,1.0,1.0
390.0,0.5,0.03,0.08,0.12
120.0,0.5,0.47000000000000003,0.96,0.96
390.0,0.5,0.02,0.08,0.08
120.0,0.5,0.48,0.92,0.92
390.0,0.5,0.01,0.04,0.04
120.0,0.5,0.49,1.0,1.0
390.0,0.5,0.0,0.04,0.12
120.0,0.5,0.5,0.92,0.96
380.0,0.5,0.5,1.0,1.0
130.0,0.5,0.0,0.0,0.08
380.0,0.5,0.49,1.0,1.0
130.0,0.5,0.01,0.08,0.04
380.0,0.5,0.48,1.0,1.0
130.0,0.5,0.02,0.04,0.08
380.0,0.5,0.47000000000000003,1.0,1.0
130.0,0.5,0.03,0.0,0.0
380.0,0.5,0.46,1.0,1.0
130.0,0.5,0.04,0.08,0.12
380.0,0.5,0.45,1.0,1.0
130.0,0.5,0.05,0.08,0.04
380.0,0.5,0.44,1.0,1.0
130.0,0.5,0.06,0.0,0.04
380.0,0.5,0.43,1.0,1.0
130.0,0.5,0.07,0.16,0.12
380.0,0.5,0.42,1.0,1.0
130.0,0.5,0.08,0.16,0.08
380.0,0.5,0.41000000000000003,1.0,1.0
130.0,0.5,0.09,0.0,0.08
380.0,0.5,0.4,1.0,1.0
130.0,0.5,0.1,0.04,0.04
380.0,0.5,0.39,1.0,1.0
130.0,0.5,0.11,0.12,0.12
380.0,0.5,0.38,1.0,1.0
130.0,0.5,0.12,0.12,0.08
380.0,0.5,0.37,1.0,1.0
130.0,0.5,0.13,0.12,0.0
380.0,0.5,0.36,1.0,1.0
130.0,0.5,0.14,0.12,0.04
380.0,0.5,0.35000000000000003,1.0,1.0
130.0,0.5,0.15,0.12,0.12
380.0,0.5,0.34,1.0,1.0
130.0,0.5,0.16,0.12,0.12
380.0,0.5,0.33,1.0,1.0
130.0,0.5,0.17,0.04,0.04
380.0,0.5,0.32,1.0,1.0
130.0,0.5,0.18,0.16,0.24
380.0,0.5,0.31,1.0,1.0
130.0,0.5,0.19,0.24,0.16
380.0,0.5,0.3,1.0,1.0
130.0,0.5,0.2,0.2,0.24
380.0,0.5,0.29,0.96,1.0
130.0,0.5,0.21,0.36,0.4
380.0,0.5,0.28,1.0,1.0
130.0,0.5,0.22,0.32,0.4
380.0,0.5,0.27,1.0,1.0
130.0,0.5,0.23,0.28,0.24
380.0,0.5,0.26,1.0,1.0
130.0,0.5,0.24,0.28,0.36
380.0,0.5,0.25,0.92,1.0
130.0,0.5,0.25,0.48,0.44
380.0,0.5,0.24,0.96,0.96
130.0,0.5,0.26,0.4,0.52
380.0,0.5,0.23,0.92,0.92
130.0,0.5,0.27,0.4,0.56
380.0,0.5,0.22,0.8,0.92
130.0,0.5,0.28,0.48,0.64
380.0,0.5,0.21,0.76,0.92
130.0,0.5,0.29,0.52,0.56
380.0,0.5,0.2,0.8,0.92
130.0,0.5,0.3,0.68,0.68
380.0,0.5,0.19,0.64,0.64
130.0,0.5,0.31,0.64,0.68
380.0,0.5,0.18,0.68,0.72
130.0,0.5,0.32,0.68,0.68
380.0,0.5,0.17,0.52,0.52
130.0,0.5,0.33,0.64,0.68
380.0,0.5,0.16,0.24,0.36
130.0,0.5,0.34,0.8,0.84
380.0,0.5,0.15,0.44,0.48
130.0,0.5,0.35000000000000003,0.72,0.76
380.0,0.5,0.14,0.52,0.52
130.0,0.5,0.36,0.88,0.96
380.0,0.5,0.13,0.2,0.16
130.0,0.5,0.37,0.88,0.84
380.0,0.5,0.12,0.44,0.4
130.0,0.5,0.38,1.0,0.96
380.0,0.5,0.11,0.24,0.28
130.0,0.5,0.39,0.8,0.92
380.0,0.5,0.1,0.2,0.2
130.0,0.5,0.4,0.96,0.96
380.0,0.5,0.09,0.2,0.12
130.0,0.5,0.41000000000000003,0.84,0.96
380.0,0.5,0.08,0.08,0.04
130.0,0.5,0.42,0.92,0.96
380.0,0.5,0.07,0.08,0.12
130.0,0.5,0.43,0.96,1.0
380.0,0.5,0.06,0.04,0.08
130.0,0.5,0.44,0.96,1.0
380.0,0.5,0.05,0.08,0.04
130.0,0.5,0.45,1.0,1.0
380.0,0.5,0.04,0.12,0.04
130.0,0.5,0.46,0.92,0.96
380.0,0.5,0.03,0.0,0.0
130.0,0.5,0.47000000000000003,1.0,0.96
380.0,0.5,0.02,0.12,0.0
130.0,0.5,0.48,0.88,0.92
380.0,0.5,0.01,0.04,0.12
130.0,0.5,0.49,1.0,1.0
380.0,0.5,0.0,0.16,0.12
130.0,0.5,0.5,1.0,1.0
370.0,0.5,0.5,1.0,1.0
140.0,0.5,0.0,0.08,0.08
370.0,0.5,0.49,1.0,1.0
140.0,0.5,0.01,0.08,0.08
370.0,0.5,0.48,1.0,1.0
140.0,0.5,0.02,0.08,0.0
370.0,0.5,0.47000000000000003,1.0,1.0
140.0,0.5,0.03,0.04,0.08
370.0,0.5,0.46,1.0,1.0
140.0,0.5,0.04,0.12,0.12
370.0,0.5,0.45,1.0,1.0
140.0,0.5,0.05,0.0,0.0
370.0,0.5,0.44,1.0,1.0
140.0,0.5,0.06,0.04,0.04
370.0,0.5,0.43,1.0,1.0
140.0,0.5,0.07,0.04,0.04
370.0,0.5,0.42,1.0,1.0
140.0,0.5,0.08,0.08,0.12
370.0,0.5,0.41000000000000003,1.0,1.0
140.0,0.5,0.09,0.08,0.0
370.0,0.5,0.4,1.0,1.0
140.0,0.5,0.1,0.2,0.08
370.0,0.5,0.39,1.0,1.0
140.0,0.5,0.11,0.04,0.04
370.0,0.5,0.38,1.0,1.0
140.0,0.5,0.12,0.08,0.04
370.0,0.5,0.37,1.0,1.0
140.0,0.5,0.13,0.08,0.12
370.0,0.5,0.36,1.0,1.0
140.0,0.5,0.14,0.08,0.08
370.0,0.5,0.35000000000000003,1.0,1.0
140.0,0.5,0.15,0.2,0.12
370.0,0.5,0.34,1.0,1.0
140.0,0.5,0.16,0.2,0.24
370.0,0.5,0.33,1.0,1.0
140.0,0.5,0.17,0.32,0.32
370.0,0.5,0.32,1.0,1.0
140.0,0.5,0.18,0.2,0.4
370.0,0.5,0.31,1.0,1.0
140.0,0.5,0.19,0.24,0.2
370.0,0.5,0.3,1.0,1.0
140.0,0.5,0.2,0.24,0.28
370.0,0.5,0.29,1.0,1.0
140.0,0.5,0.21,0.24,0.36
370.0,0.5,0.28,1.0,1.0
140.0,0.5,0.22,0.12,0.28
370.0,0.5,0.27,1.0,1.0
140.0,0.5,0.23,0.44,0.6
370.0,0.5,0.26,1.0,1.0
140.0,0.5,0.24,0.64,0.48
370.0,0.5,0.25,0.92,1.0
